week_start,threads,users
2024-09-30,860,16
2024-10-07,487,13
2024-10-14,393,11
2024-10-21,609,15
2024-10-28,813,15
2024-11-04,517,20
2024-11-11,896,15
2024-11-18,991,19
2024-11-25,442,17
2024-12-02,1344,16
2024-12-09,973,14
2024-12-16,1090,15
2024-12-23,395,19
2024-12-30,7,1
2025-01-06,491,13
2025-01-13,373,16
2025-01-20,617,17
2025-01-27,507,18
2025-02-03,669,17
2025-02-10,426,16
2025-02-17,381,16
2025-02-24,527,17
2025-03-03,550,16
2025-03-10,642,18
2025-03-17,818,20
2025-03-24,590,17
2025-03-31,820,20
2025-04-07,724,17
2025-04-14,520,17
2025-04-21,806,21
2025-04-28,424,14
2025-05-05,399,16
2025-05-12,334,16
2025-05-19,536,20
2025-05-26,368,17
2025-06-02,523,19
2025-06-09,439,23
2025-06-16,643,19
2025-06-23,541,18
2025-06-30,733,18
2025-07-07,737,20
2025-07-14,459,18
2025-07-21,398,19
2025-07-28,442,15
2025-08-04,591,18
2025-08-11,11,1
2025-08-18,446,18
2025-08-25,495,17
2025-09-01,606,17
2025-09-08,247,14
2025-09-15,361,14
2025-09-22,341,18
2025-09-29,339,13
2025-10-06,479,17
2025-10-13,262,16
2025-10-20,613,16
2025-10-27,362,14
2025-11-03,301,17
2025-11-10,427,15
2025-11-17,126,10
